millis,aX,aY,aZ,gX,gY,gZ
6818,-0.164,0.185,0.906,-22.400,12.390,-3.479
6827,-0.190,0.212,0.938,-18.799,14.404,-3.296
6836,-0.190,0.212,0.939,-12.146,9.155,-1.160
6845,-0.189,0.215,0.942,-2.197,3.967,1.709
6853,-0.190,0.213,0.934,-0.122,2.869,2.930
6862,-0.191,0.212,0.931,0.244,2.808,3.296
6871,-0.188,0.216,0.934,0.549,2.686,2.991
6880,-0.189,0.217,0.935,1.038,2.563,2.991
6889,-0.190,0.212,0.934,1.465,2.197,3.174
6897,-0.191,0.213,0.936,1.526,2.258,3.235
6906,-0.190,0.211,0.936,1.099,2.380,3.113
6914,-0.189,0.212,0.935,0.305,2.625,2.991
6923,-0.189,0.214,0.934,0.183,2.869,2.930
6932,-0.189,0.215,0.933,0.000,3.113,2.991
6941,-0.190,0.214,0.931,0.061,2.808,3.052
6950,-0.191,0.214,0.931,0.122,2.686,3.113
6958,-0.190,0.215,0.932,0.549,2.747,2.930
6967,-0.190,0.215,0.934,0.671,2.625,2.991
6976,-0.191,0.214,0.933,0.671,2.502,2.991
6985,-0.191,0.214,0.932,0.732,2.686,2.991
6994,-0.190,0.215,0.932,0.549,2.930,2.869
7002,-0.190,0.216,0.933,0.549,2.808,2.991
7011,-0.189,0.217,0.933,0.366,2.747,2.930
7020,-0.189,0.215,0.932,0.427,2.747,3.052
7029,-0.188,0.215,0.933,0.793,2.625,3.052
7038,-0.189,0.215,0.933,1.160,2.380,2.930
7046,-0.188,0.214,0.933,1.343,2.441,3.052
7055,-0.189,0.213,0.934,1.221,2.441,3.296
7064,-0.190,0.211,0.935,0.916,2.380,3.235
7073,-0.191,0.213,0.934,0.793,2.563,3.235
7082,-0.189,0.213,0.933,0.671,2.502,2.991
7090,-0.189,0.213,0.934,0.671,2.625,2.930
7099,-0.189,0.214,0.933,0.671,2.563,2.930
7107,-0.190,0.214,0.934,0.671,2.502,2.930
7116,-0.189,0.215,0.934,0.610,2.686,2.991
7125,-0.188,0.215,0.934,0.671,2.686,2.991
7134,-0.189,0.216,0.935,0.488,2.686,3.052
7143,-0.191,0.216,0.932,0.244,2.808,2.930
7151,-0.191,0.217,0.933,0.122,2.930,2.869
7160,-0.190,0.216,0.933,0.305,2.869,2.930
7169,-0.189,0.216,0.935,0.488,2.747,2.930
7178,-0.191,0.215,0.934,0.549,2.563,2.991
7187,-0.190,0.214,0.934,0.610,2.563,3.174
7195,-0.190,0.215,0.935,0.488,2.747,3.235
7204,-0.188,0.215,0.935,0.549,2.808,3.174
7213,-0.189,0.216,0.935,0.854,2.747,3.174
7222,-0.188,0.215,0.933,0.610,2.563,3.296
7230,-0.189,0.214,0.934,0.549,2.563,3.235
7239,-0.189,0.215,0.935,0.732,2.441,3.052
7248,-0.189,0.213,0.936,0.977,2.502,3.052
7257,-0.189,0.213,0.936,1.221,2.441,3.113
7266,-0.190,0.212,0.934,1.160,2.380,3.174
7274,-0.192,0.212,0.935,0.854,2.502,3.052
7283,-0.190,0.213,0.935,0.854,2.625,3.113
7292,-0.189,0.215,0.937,0.610,2.686,3.113
7301,-0.189,0.213,0.935,0.366,2.625,2.991
7309,-0.188,0.214,0.934,0.305,2.686,3.113
7318,-0.190,0.214,0.934,0.244,2.747,3.052
7327,-0.190,0.216,0.935,0.427,2.930,2.991
7336,-0.191,0.215,0.938,0.549,2.808,2.930
7345,-0.191,0.215,0.936,0.549,2.808,3.052
7353,-0.192,0.215,0.934,0.488,2.808,2.930
7362,-0.192,0.215,0.935,0.061,2.991,2.991
7371,-0.192,0.216,0.935,0.000,3.113,2.808
7380,-0.191,0.215,0.937,0.122,2.991,2.930
7388,-0.189,0.215,0.935,0.244,2.869,3.113
7397,-0.189,0.215,0.935,0.427,2.747,3.052
7406,-0.189,0.217,0.936,0.488,2.563,3.113
7414,-0.188,0.217,0.936,0.793,2.625,3.113
7423,-0.189,0.215,0.936,0.610,2.441,3.113
7432,-0.190,0.215,0.935,0.610,2.563,3.052
7441,-0.189,0.214,0.937,0.732,2.563,3.174
7449,-0.189,0.214,0.937,0.977,2.502,3.113
7458,-0.189,0.211,0.938,1.038,2.502,3.357
7467,-0.190,0.213,0.937,1.099,2.441,3.296
7476,-0.189,0.213,0.938,0.977,2.686,3.174
7485,-0.189,0.214,0.938,0.916,2.380,3.052
7493,-0.189,0.214,0.939,1.099,2.258,2.991
7502,-0.189,0.214,0.939,0.793,2.319,3.174
7511,-0.190,0.213,0.938,0.549,2.563,3.418
7520,-0.191,0.214,0.938,0.732,2.808,3.113
7529,-0.191,0.215,0.939,0.732,2.747,2.991
7537,-0.191,0.215,0.938,0.610,2.930,3.113
7546,-0.192,0.215,0.938,0.305,2.869,3.052
7555,-0.191,0.216,0.940,0.244,2.930,2.930
7564,-0.190,0.217,0.939,-0.183,3.174,2.869
7573,-0.190,0.217,0.938,-0.366,3.235,2.808
7581,-0.189,0.217,0.938,-0.183,3.174,2.502
7590,-0.189,0.216,0.937,-0.061,2.991,2.930
7599,-0.189,0.216,0.937,0.244,2.930,3.113
7608,-0.189,0.215,0.938,0.549,2.869,3.174
7616,-0.189,0.215,0.939,0.916,2.502,3.174
7625,-0.190,0.214,0.938,1.099,2.563,3.174
7634,-0.189,0.213,0.940,1.038,2.441,3.174
7642,-0.189,0.213,0.939,1.099,2.563,3.296
7651,-0.187,0.214,0.940,0.916,2.563,3.113
7660,-0.186,0.215,0.939,0.732,2.686,3.235
7669,-0.187,0.215,0.938,0.549,2.563,3.235
7678,-0.189,0.215,0.939,0.671,2.563,3.357
7686,-0.192,0.213,0.938,0.854,2.502,3.174
7695,-0.193,0.213,0.939,1.160,2.319,3.296
7704,-0.195,0.211,0.941,1.404,2.258,3.296
7713,-0.193,0.212,0.942,1.160,2.502,3.174
7722,-0.191,0.214,0.943,0.610,2.502,3.174
7730,-0.190,0.215,0.941,0.061,2.686,3.113
7739,-0.189,0.215,0.940,-0.244,2.991,3.052
7748,-0.188,0.217,0.940,-0.549,3.113,2.808
7757,-0.188,0.218,0.938,-0.122,3.113,2.869
7766,-0.190,0.218,0.938,0.122,2.991,2.991
7774,-0.191,0.217,0.938,0.366,2.808,3.052
